LFnext7,LFnext30,LFprev7,LFprev30
105.691705237,133.0625,46.7348147944,102.5
45.412186808,50.7287597656,46.6188519586,45.390625
364.669698801,413.84375,350.88732068,403.108940799
137.5727726,124.4765625,285.870349992,117.5
89.2360874625,1.0,35.64752651,88.6875
400.098951759,5.62307820623e+13,222.481376086,344.102762175
1.0,1.40238961831e+13,37.6154267252,29.25
11.5120948439,1.0,50.589216602,115.9375
41.7634770545,61.25,1.0,79.1431617264
1.0,6.625,1.0,25.368420926
281.886881634,254.359375,1.0,249.614047549
38.1787078256,94.1875,261.657305165,69.467387665
38.0400099803,80.5,1.0,57.28125
45.6482811155,73.5,167.172054352,39.037109375
240.664290088,261.0,1617.32920363,221.990622043
14.6848426409,28.234375,86.4599467835,16.984375
52.7373475794,69.25,68.4864756279,45.34375
5.64953693501,70.0,53.2143956741,65.75
12.2709755332,22.25,11.2281531798,13.84375
226.891756143,248.125,622.746318924,219.096178016
30.358116866,18.9921875,12.5392318821,14.75
60.3826130564,84.0,61.3071374663,42.0
125.348545443,73.25,95.0928277044,54.9783954188
295.955928911,247.75,253.579169899,235.607421875
79.8204376511,102.0,46.1829995767,70.8823385423
32.7171307687,42.546875,27.1265537521,25.375
83.3266734419,101.0,215.764936571,117.5
342.810733621,350.5,360.075681772,338.702765464
74.4144777129,122.28125,134.458040324,134.5
35.7888184093,46.3984375,46.1255909656,36.1875
104.175619075,113.5,80.9152445669,76.5
353.560304768,434.953125,335.461142172,389.1875
130.12513096,106.21875,44.2063132159,79.83984375
111.057665195,96.107421875,92.4463923552,90.1015625
367.539365301,401.71875,339.305543029,333.390625
37.810085324,38.3125,33.7199966038,26.8203125
21.9038470814,26.08203125,10.7233129551,24.65625
108.181067269,81.125,54.9887611381,59.8203125
270.14232017,269.0078125,241.14750755,227.34375
110.169079796,90.078125,71.6688641011,62.625
80.9215649903,74.8125,55.6625905882,68.71875
38.7948220754,20.421875,8.59267874747,20.6015625
371.221533278,272.0,301.722285256,227.4375
1.0,72.0,73.5720032079,63.5625
183.58017794,254.625,211.380489584,222.899182119
133.709843962,73.587890625,86.0022832626,62.5625
156.210747359,74.9453125,31.0011933722,45.25
57.1090699913,29.5,50.3457618145,23.4609375
250.447749645,268.0,268.119966359,252.521920554
45.0621494788,28.0625,31.8032690497,25.671875
115.421611366,70.6015625,67.7921654288,52.625
113.930785915,80.626953125,85.7246570258,68.1875
