Date,CourseUS
2013-08-09,32.9401
2013-08-10,32.8606
2013-08-13,32.891
2013-08-14,33.0426
2013-08-15,33.1583
2013-08-16,33.0004
2013-08-17,32.9421
2013-08-20,32.9226
2013-08-21,33.0006
2013-08-22,32.9737
2013-08-23,33.1908
2013-08-24,33.0552
2013-08-27,32.9564
2013-08-28,33.1224
2013-08-29,33.1798
2013-08-30,33.1783
2013-08-31,33.2474
2013-09-03,33.2522
2013-09-04,33.3693
2013-09-05,33.4656
2013-09-06,33.3901
2013-09-07,33.4338
2013-09-10,33.3243
2013-09-11,33.06
2013-09-12,32.9629
2013-09-13,32.6731
2013-09-14,32.7406
2013-09-17,32.2907
2013-09-18,32.3237
2013-09-19,32.245
2013-09-20,31.5892
2013-09-21,31.7326
2013-09-24,31.9106
2013-09-25,31.8167
2013-09-26,31.9343
2013-09-27,32.1736
2013-09-28,32.3451
2013-10-01,32.4839
2013-10-02,32.2965
2013-10-03,32.2979
2013-10-04,32.125
2013-10-05,32.1005
2013-10-08,32.2931
2013-10-09,32.2984
2013-10-10,32.3619
2013-10-11,32.3564
2013-10-12,32.2133
2013-10-15,32.2663
2013-10-16,32.2676
2013-10-17,32.2561
2013-10-18,32.0816
2013-10-19,31.846
2013-10-22,31.9013
2013-10-23,31.9346
2013-10-24,31.7448
2013-10-25,31.6618
2013-10-26,31.6775
2013-10-29,31.8119
2013-10-30,31.9445
2013-10-31,32.0613
2013-11-01,32.0758
2013-11-02,32.1808
2013-11-06,32.3509
2013-11-07,32.4511
2013-11-08,32.3803
2013-11-09,32.5479
2013-11-12,32.6622
2013-11-13,32.8076
2013-11-14,32.8184
2013-11-15,32.6874
2013-11-16,32.6807
2013-11-19,32.5658
2013-11-20,32.6098
2013-11-21,32.7417
2013-11-22,33.018
2013-11-23,32.9055
2013-11-26,32.7733
2013-11-27,32.9879
2013-11-28,33.0041
2013-11-29,33.1332
2013-11-30,33.1916
2013-12-03,33.1482
2013-12-04,33.246
2013-12-05,33.2632
2013-12-06,33.114
2013-12-07,32.9514
2013-12-10,32.7782
2013-12-11,32.7848
2013-12-12,32.7315
2013-12-13,32.7518
2013-12-14,32.8663
2013-12-17,32.8658
2013-12-18,32.8646
2013-12-19,32.9404
2013-12-20,32.9527
2013-12-21,32.9798
2013-12-24,32.9506
2013-12-25,32.6284
2013-12-26,32.6487
2013-12-27,32.671
2013-12-28,32.6282
2013-12-31,32.7292
2014-01-01,32.6587
2014-01-10,33.1547
2014-01-11,33.2062
2014-01-14,33.1204
2014-01-15,33.2386
2014-01-16,33.3562
